Id,Name,City,State,Country,Latitude,Longitude,TotalInvoices,LastYearInvoices
"50818401-c453-e311-8486-0026b9f9e50c","Brooklyn Brewery","Brooklyn","NY","","40.72165","-73.95787","10165.00","10165.00"
"f8312569-7561-dc11-ab02-00101826f7f4","Burns & McDonnell","KANSAS CITY","MO","US","38.95904","-94.59791","524607.90","4180.00"
"44846fc9-f1e3-dc11-bd0d-00101826f7f4","Burr Pilger  Mayer","San Francisco","CA","USA","37.79311","-122.40486","19665.61","19665.61"
"075ab49e-73fb-dc11-a14f-00101826f7f4","Cambria Suites","Silver Spring","MD","","39.03208","-77.00411","0.00","0.00"
"6de774b2-7561-dc11-ab02-00101826f7f4","CAMDEN PROPERTY TRUST","HOUSTON","TX","","29.73179","-95.43115","2500.00","0.00"
"cc7a299f-27b8-de11-8cc3-00101826f7f4","Canadian Imperial Bank of Commerce ("CIBC")","Toronto","ON","","43.64842","-79.37905","517419.60","0.00"
"9539dcad-d83d-db11-8386-0003ff32d6e5","Cancer Treatment Centers Of America, Inc.","Schaumburg","IL","USA","42.05494","-88.06556","575777.93","0.00"
"31473030-3030-3030-794a-776164494143","Cannon Design","Grand Island","New York","United States","43.02071","-78.97187","208638.19","46247.50"
"31473030-3030-3031-5a48-396a67494144","Capstone Publishing","","","","0","0","91292.40","78597.40"
"5039e5d2-787c-44a6-a5b6-aebef296470d","CarMax, Inc.","Richmond","VA","US","37.63656","-77.6722","53360.00","4530.00"
"81950ece-1519-e511-80bd-00155dfc3b0a","CData Software","Chapel Hill","NC","United States","35.88169","-79.06657","1000.00","1000.00"
"2691fba3-95ff-de11-a75b-00101826f7f4","Cerner Corporation","Kansas City","MO","USA","39.15034","-94.54587","36890.15","0.00"
"31473030-3030-3031-4749-747034494144","Change.org","San Francisco","California","United States","37.77962","-122.39124","4000.00","0.00"
"d4faff2a-c89a-dd11-bee3-00101826f7f4","Checkfree - now part of Fiserv","","","","0","0","0.00","0.00"
"3aa31481-43af-e111-b5e5-0026b9f9e50c","Cherry Bekaert LLP","Richmond","VA","","37.53598","-77.43755","20473.00","11400.00"
"fa59b49e-73fb-dc11-a14f-00101826f7f4","Chester's International, LLC","Birmingham","AL","USA","33.43828","-86.73042","79635.20","1275.00"
"d1a4c99e-e6c5-4d14-921f-09b785519934","Chicago Blackhawks","Chicago","IL","USA","41.88062","-87.67476","0.00","0.00"
"f8db7efd-53fd-45fb-a682-b7bd67d89935","Chicago Bulls","Chicago","IL","United States","41.88062","-87.67476","0.00","0.00"
"a0b48531-4adb-dc11-bd0d-00101826f7f4","Chloride North America","Libertyville","IL","","42.26836","-87.90683","2500.00","0.00"
"9ade1e74-8187-4785-ab26-6b49990f307f","CHOBANI INC","","","","0","0","60000.00","60000.00"
"1ab1f311-1ca0-47e7-a31d-5a0d52eaa7cf","Choice Hotels International, Inc.","Rockville","MD","USA","39.03145","-77.0047","2058556.85","53291.25"
